Time_UTC_Start,open,high,low,close,volume,quote_asset_volume,number_of_trades,base_asset_volume,quote_asset_volume,label
2018-07-19 17:00:00,7370.01,7378.79,7368.0,7378.79,33.500078,247022.08675809,189.0,17.922689,132178.19094816,1.0
2018-07-19 18:00:00,7422.28,7427.59,7420.87,7427.27,14.632584,108638.96350234,161.0,9.896645,73481.2480941,1.0
2018-07-19 19:00:00,7424.92,7427.87,7422.84,7427.86,17.635222,130948.80221312,97.0,11.870645,88153.86323803,1.0
2018-07-19 20:00:00,7450.0,7457.51,7445.0,7451.64,22.394784,166801.8496541,233.0,9.701733,72276.83600184,1.0
2018-07-19 21:00:00,7418.77,7430.75,7415.72,7425.81,15.35978,114036.35205844,155.0,9.065888,67322.10909006,1.0
2018-07-19 22:00:00,7432.91,7436.94,7431.51,7436.8,3.059652,22744.14399089,55.0,0.703757,5232.84304103,1.0
2018-07-19 23:00:00,7485.95,7495.66,7482.11,7495.39,27.418772,205371.36291677,181.0,19.091719,142994.09811454,1.0
2018-07-20 00:00:00,7468.86,7479.82,7465.25,7474.21,11.684091,87314.8757904,96.0,6.202891,46379.76850607,1.0
2018-07-20 01:00:00,7402.05,7406.69,7391.9,7402.58,15.518845,114817.02795962,194.0,5.964008,44137.00824966,1.0
2018-07-20 02:00:00,7457.69,7461.31,7450.21,7455.25,21.439032,159866.47055227,158.0,10.65877,79498.56576569,0.0
2018-07-20 03:00:00,7458.27,7464.39,7458.0,7463.06,16.234704,121106.77742581,101.0,10.875209,81135.61253361,1.0
2018-07-20 04:00:00,7461.35,7468.82,7461.0,7462.01,5.446983,40657.58089277,122.0,2.037414,15210.59674436,1.0
2018-07-20 05:00:00,7452.81,7458.54,7452.0,7453.34,22.558411,168171.59196658,136.0,16.30769,121584.96381219,1.0
2018-07-20 06:00:00,7419.68,7420.0,7410.0,7415.0,30.774687,228173.39709061,283.0,11.32181,83967.35135032,0.0
2018-07-20 07:00:00,7376.28,7376.28,7356.92,7366.46,47.024653,346474.45273393,322.0,17.142037,126324.12832795,0.0
2018-07-20 08:00:00,7443.5,7455.71,7437.23,7450.06,43.563921,324456.7808371,353.0,22.726648,169314.97469674,1.0
2018-07-20 09:00:00,7465.71,7472.0,7464.0,7469.09,44.087993,329224.81758352,147.0,32.292371,241147.99144623,1.0
2018-07-20 10:00:00,7440.0,7446.8,7438.95,7442.0,15.636629,116356.72897904,127.0,7.457689,55503.5638563,1.0
2018-07-20 11:00:00,7467.89,7473.0,7464.61,7468.44,13.949943,104194.97326724,151.0,11.953637,89286.39080231,1.0
2018-07-20 12:00:00,7504.0,7517.99,7501.81,7514.12,21.498302,161499.23216476,246.0,13.29505,99867.10950364,1.0
2018-07-20 13:00:00,7466.59,7473.51,7465.13,7468.12,8.191974,61179.4285669,104.0,3.73549,27902.48507418,1.0
2018-07-20 14:00:00,7482.07,7483.5,7480.0,7480.01,13.679394,102351.79291249,153.0,3.194162,23900.12043435,0.0
2018-07-20 15:00:00,7480.86,7482.51,7479.28,7482.48,6.969894,52143.67828258,141.0,4.216938,31551.09048513,1.0
2018-07-20 16:00:00,7468.96,7474.55,7467.94,7472.47,9.104783,68011.97748209,137.0,7.086374,52935.82989225,1.0
2018-07-20 17:00:00,7473.51,7500.0,7465.1,7499.8,169.623422,1268059.24408072,746.0,84.846608,634532.84169867,1.0
2018-07-20 18:00:00,7328.66,7328.67,7311.0,7316.51,66.714466,488437.20009337,382.0,36.677577,268529.49992734,0.0
2018-07-20 19:00:00,7361.22,7365.0,7361.01,7362.27,27.996726,206149.31119315,147.0,17.421124,128287.09920099,1.0
2018-07-20 20:00:00,7353.37,7357.04,7350.0,7357.02,35.041688,257682.9153167,147.0,20.844802,153273.65146512,1.0
2018-07-20 21:00:00,7348.18,7360.0,7348.17,7354.6,8.633806,63498.20962101,129.0,7.10359,52249.0222114,1.0
2018-07-20 22:00:00,7300.99,7313.07,7297.0,7310.0,30.898827,225673.20712739,259.0,22.818863,166643.45034156,1.0
2018-07-20 23:00:00,7351.65,7355.65,7351.65,7355.0,10.429996,76709.11240828,129.0,3.731862,27446.68155458,1.0
2018-07-21 00:00:00,7337.47,7338.19,7327.61,7331.51,29.124853,213543.92373872,130.0,17.491892,128271.94126652,0.0
